Projeto;Tipo de Serviço;Data Prog.;Status;Intervenção;PowerON;Equipamento;Horário Início;Horário Fim;Parceira;Região;Latitude;Longitude;Link Google Maps URL;Link My Maps URL
DMP/A.LES.26.02612;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Conecta Obras Extras (Área 8B, 9 e 11) NEC;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02615;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;nan;356ET160585;10:30;14:30;Engelmig (Área 11) NEC e UPS;LES;-23.59697015;-46.45766404;https://www.google.com/maps/search/?api=1&query=-23.59697015,-46.45766404;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.04918;Rede Compacta;02/08/2026;Liberado para Execução;PIE;RESOLVIDO;356ET032848;09:30;13:30;Engelmig (Área 11) NEC e UPS;LES;-23.61330055;-46.43980552;https://www.google.com/maps/search/?api=1&query=-23.61330055,-46.43980552;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.24.01511;Ligação Nova;02/08/2026;Liberado para Execução;FI;16548204;257ET120020;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.58311482;-46.63468823;https://www.google.com/maps/search/?api=1&query=-23.58311482,-46.63468823;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01311;Ligação Nova;02/08/2026;Liberado para Documentação;BRA;nan;252BF072242;08:00;17:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.5618724;-46.67343622;https://www.google.com/maps/search/?api=1&query=-23.5618724,-46.67343622;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00502;Ligação Nova;02/08/2026;Cancelado;FI;16537614;354BF059111;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.48753146;-46.61085482;https://www.google.com/maps/search/?api=1&query=-23.48753146,-46.61085482;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06364;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16537781;354ET051617;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50330937;-46.63450757;https://www.google.com/maps/search/?api=1&query=-23.50330937,-46.63450757;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.06391;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16536835;151ET000217;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.55965915;-46.62852162;https://www.google.com/maps/search/?api=1&query=-23.55965915,-46.62852162;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.25.07519;Segurança Operativa;02/08/2026;Liberado para Execução;PIE;16553230;251ET023809;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62105037;-46.63584101;https://www.google.com/maps/search/?api=1&query=-23.62105037,-46.63584101;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00477;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16536835;151ET000217;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.55965915;-46.62852162;https://www.google.com/maps/search/?api=1&query=-23.55965915,-46.62852162;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00478;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16536835;151ET000217;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.55965915;-46.62852162;https://www.google.com/maps/search/?api=1&query=-23.55965915,-46.62852162;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00577;Segurança Operativa;02/08/2026;Liberado para Execução;PIE;16553230;251ET023809;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62105037;-46.63584101;https://www.google.com/maps/search/?api=1&query=-23.62105037,-46.63584101;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.00578;Segurança Operativa;02/08/2026;Liberado para Documentação;PIE;16553230;251ET023809;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.62105037;-46.63584101;https://www.google.com/maps/search/?api=1&query=-23.62105037,-46.63584101;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01055;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16537781;354ET051617;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50330937;-46.63450757;https://www.google.com/maps/search/?api=1&query=-23.50330937,-46.63450757;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.NOR.26.01056;Reforma de Rede Secundária;02/08/2026;Liberado para Execução;FI;16537781;354ET051617;10:00;14:00;Conecta Obras (Área 4 e 5) NEC;NOR;-23.50330937;-46.63450757;https://www.google.com/maps/search/?api=1&query=-23.50330937,-46.63450757;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.ABC.26.00094;Alteração de Carga;03/08/2026;Liberado para Execução;FI;16538041;015ET023024;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;ABC;-23.64937384;-46.43757131;https://www.google.com/maps/search/?api=1&query=-23.64937384,-46.43757131;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.25.00673;Ligação Nova;03/08/2026;Liberado para Execução;FI;16538300;352ET029815;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.50245977;-46.45698444;https://www.google.com/maps/search/?api=1&query=-23.50245977,-46.45698444;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00847;Ligação Nova;03/08/2026;Liberado para Execução;FI;16548183;352ET017568;10:00;14:00;Start Engenharia (Área 8B, 9  e 11) NEC;LES;-23.51647664;-46.50996374;https://www.google.com/maps/search/?api=1&query=-23.51647664,-46.50996374;https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
