Projeto,Tipo de Serviço,Data Prog.,Status,Intervenção,PowerON,Equipamento,Horário Início,Horário Fim,Parceira,Região,Latitude,Longitude,Link Google Maps URL,Link My Maps URL
DAC/A.NOR.26.00139,Regularização de Ligações Informais,08/07/2026,Liberado para Execução,FI,16441033,354BF052658,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.50602217,-46.56152671,"https://www.google.com/maps/search/?api=1&query=-23.50602217,-46.56152671",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.26.00115,Regularização de Ligações Informais,08/07/2026,Liberado para Execução,FI,16441033,354BF052658,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.50602217,-46.56152671,"https://www.google.com/maps/search/?api=1&query=-23.50602217,-46.56152671",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01158,Regularização de Ligações Informais,08/07/2026,Liberado para Execução,FI,16441033,354BF052658,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.50602217,-46.56152671,"https://www.google.com/maps/search/?api=1&query=-23.50602217,-46.56152671",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.01440,Regularização de Ligações Informais,08/07/2026,Liberado para Execução,FI,16441033,354BF052658,10:00,14:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.50602217,-46.56152671,"https://www.google.com/maps/search/?api=1&query=-23.50602217,-46.56152671",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.NOR.25.00075,Ligação Nova,04/07/2026,Liberado para Execução,BRA,16422002,351ET132907,08:00,17:00,Conecta Obras (Área 4 e 5) NEC,NOR,-23.49382529,-46.69348098,"https://www.google.com/maps/search/?api=1&query=-23.49382529,-46.69348098",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02613,Segurança Operativa,03/07/2026,Liberado para Execução,BRA,16452433,356CF140317,08:00,17:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",LES,-23.59662889,-46.45640273,"https://www.google.com/maps/search/?api=1&query=-23.59662889,-46.45640273",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DAC/A.LES.26.00735,Alteração de Carga,10/07/2026,Liberado para Execução,FI,16434971,355ET037954,10:30,14:30,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.58536132,-46.56195926,"https://www.google.com/maps/search/?api=1&query=-23.58536132,-46.56195926",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.01038,Instalação de equipamentos de proteção,11/07/2026,Liberado para Execução,BRA,16421041-1,353ET092416,08:00,18:00,"Alpitel Energy (Área 7, 8A e 10) NEC",LES,-23.53377499,-46.55199001,"https://www.google.com/maps/search/?api=1&query=-23.53377499,-46.55199001",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.25.01037,,11/07/2026,Liberado para Execução,FI,16447551,353ET001325,09:30,13:30,"Alpitel Energy (Área 7, 8A e 10) NEC",,-23.52268083,-46.54244467,"https://www.google.com/maps/search/?api=1&query=-23.52268083,-46.54244467",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
DMP/A.LES.26.02612,Segurança Operativa,03/07/2026,Liberado para Execução,BRA,16452433,356CF140317,08:00,17:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",LES,-23.59662889,-46.45640273,"https://www.google.com/maps/search/?api=1&query=-23.59662889,-46.45640273",https://www.google.com/maps/d/edit?mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&usp=sharing
