Projeto,Tipo de Serviço,Data Prog.,Status,Contrato,OS,Equipamento,Região,Início Prog.,Fim Prog.,Parceira,Latitude,Longitude,Link Google Maps
DAC/A.NOR.25.01772,Remoção de Posto Primário,06/06/2026,Liberado para Execução,BRA,16295410,354ET005029,NOR,06/06/2026 08:00,06/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
DMP/A.NOR.26.02627,Reforma de Rede Secundaria RTRI,11/06/2026,Liberado para Execução,FI,16276981,351ET011494,NOR,11/06/2026 10:00,11/06/2026 14:00,ZZOUT-Conecta Área 4 (Contrato Antigo),-23.48291116,-46.6903354,"https://www.google.com/maps/place/-23.48291116,-46.6903354"
DAC/A.LES.26.00359,Alteração de Carga,11/06/2026,Liberado para Execução,FI,16276186,010ET027717,LES,11/06/2026 14:00,11/06/2026 16:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.63927086,-46.49570696,"https://www.google.com/maps/place/-23.63927086,-46.49570696"
DAC/A.NOR.25.01410,Alteração de Carga,11/06/2026,Liberado para Execução,FI,16276599,152ET085387,NOR,11/06/2026 10:00,11/06/2026 13:00,Conecta Obras (Área 4 e 5) NEC,-23.54018963,-46.65820518,"https://www.google.com/maps/place/-23.54018963,-46.65820518"
DAC/A.NOR.25.01559,Alteração de Carga,11/06/2026,Liberado para Execução,FI,16277007,351ET000624,NOR,11/06/2026 10:00,11/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.4828582,-46.7010955,"https://www.google.com/maps/place/-23.4828582,-46.7010955"
DAC/A.NOR.25.00205,Ligação Nova,11/06/2026,Liberado para Execução,FI,16276725,251ET009648,NOR,11/06/2026 11:30,11/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.61504686,-46.68563591,"https://www.google.com/maps/place/-23.61504686,-46.68563591"
DAC/A.NOR.25.01501,Ligação Nova,11/06/2026,Liberado para Execução,FI,16276874,257ET068755,NOR,11/06/2026 10:00,11/06/2026 13:00,Conecta Obras (Área 4 e 5) NEC,-23.57481284,-46.6545268,"https://www.google.com/maps/place/-23.57481284,-46.6545268"
DAC/A.NOR.25.01469,Alteração de Carga,12/06/2026,Liberado para Execução,FI,16277756,151ET001303,NOR,12/06/2026 10:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.56619862,-46.64462656,"https://www.google.com/maps/place/-23.56619862,-46.64462656"
DAC/A.NOR.25.01200,Ligação Nova,12/06/2026,Liberado para Execução,BRA,16306299,251ET121236,NOR,12/06/2026 09:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.60909915,-46.66847545,"https://www.google.com/maps/place/-23.60909915,-46.66847545"
DAC/A.NOR.25.01624,Ligação Provisória,12/06/2026,Liberado para Execução,FI,16278122,251ET048529,NOR,12/06/2026 10:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,-23.61273877,-46.68782995,"https://www.google.com/maps/place/-23.61273877,-46.68782995"
DMP/A.LES.25.01389,Reforma de Rede Secundária,12/06/2026,Liberado para Execução,FI,16281155,353ET024580,LES,12/06/2026 10:00,12/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.58546548,-46.51450793,"https://www.google.com/maps/place/-23.58546548,-46.51450793"
DAC/A.NOR.24.01517,Ligação Nova,14/06/2026,Liberado para Documentação,BRA,,251IP16J209,NOR,14/06/2026 08:00,14/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.59383967,-46.68083457,"https://www.google.com/maps/place/-23.59383967,-46.68083457"
DAC/A.NOR.24.01518,Ligação Nova,14/06/2026,Liberado para Documentação,BRA,,251IP16J209,NOR,14/06/2026 08:00,14/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.59383967,-46.68083457,"https://www.google.com/maps/place/-23.59383967,-46.68083457"
DAC/A.NOR.25.00547,Ligação Nova,12/06/2026,Liberado para Execução,FI,16277697,152BF020382,NOR,12/06/2026 10:00,12/06/2026 14:00,Conecta Obras (Área 4 e 5) NEC,,,
DMP/A.LES.24.02834,Reforma de Rede Secundária,12/06/2026,Liberado para Execução,FI,16281482,356ET050888,LES,12/06/2026 10:00,12/06/2026 14:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.56922282,-46.45972158,"https://www.google.com/maps/place/-23.56922282,-46.45972158"
DAC/A.NOR.26.00399,Remoção de Posto Primário,14/06/2026,Liberado para Documentação,BRA,,251EP029327,NOR,14/06/2026 08:00,14/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.NOR.25.01321,Ligação Nova,12/06/2026,Liberado para Execução,BRA,16306242,251ET004915,NOR,12/06/2026 09:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.62153,-46.66922414,"https://www.google.com/maps/place/-23.62153,-46.66922414"
DAC/A.LES.25.00969,Ligação Nova,13/06/2026,Liberado para Execução,FI,16282162,ET-220858,LES,13/06/2026 04:00,13/06/2026 06:00,"Start Engenharia (Área 8B, 9  e 11) NEC",-23.64997949,-46.53841437,"https://www.google.com/maps/place/-23.64997949,-46.53841437"
DAC/A.NOR.25.01041,Ligação Nova,12/06/2026,Liberado para Documentação,BRA,,ET-005369,NOR,12/06/2026 08:00,12/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.60510886,-46.69160007,"https://www.google.com/maps/place/-23.60510886,-46.69160007"
DAC/A.NOR.25.01350,Ligação Provisória,10/06/2026,Liberado para Execução,BRA,16304970,ET-007525,NOR,10/06/2026 08:00,10/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.NOR.25.01806,Ligação Nova,14/06/2026,Liberado para Documentação,BRA,,251BF062473,NOR,14/06/2026 08:00,14/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,,,
DAC/A.LES.25.00400,Ligação Nova,12/06/2026,Liberado para Execução,BRA,16306466,353ET035533,LES,12/06/2026 09:00,12/06/2026 17:00,"Conecta Obras Extras (Área 8B, 9 e 11) NEC",-23.52855069,-46.49713707,"https://www.google.com/maps/place/-23.52855069,-46.49713707"
DAC/A.NOR.25.01195,Ligação Nova,13/06/2026,Liberado para Documentação,BRA,,351ET045032,NOR,13/06/2026 09:00,13/06/2026 17:00,Conecta Obras (Área 4 e 5) NEC,-23.45382007,-46.75133487,"https://www.google.com/maps/place/-23.45382007,-46.75133487"
