"Projeto";"Tipo de Serviço";"Data Prog.";"Status";"Intervenção";"PowerON";"Equipamento";"Horário Início";"Horário Fim";"Parceira";"Região";"Latitude";"Longitude";"Situação Coordenadas";"Link Google Maps";"Link My Maps";"Origem"
"DMP/A.LES.24.03650";"Reforma de Rede Secundaria RTRI";"09/09/2026";"Liberado para Execução";"FI";"16705327";"353ET052086";"23:30";"03:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5385296995363";"-46.6055570315013";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5385296995363,-46.6055570315013";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.24.07670";"Reforma de Rede Secundaria RTRI";"09/09/2026";"Liberado para Execução";"BRA";"16742111";"353ET006456";"13:00";"16:00";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5346182301159";"-46.5268503163747";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5346182301159,-46.5268503163747";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DMP/A.LES.26.01909";"Religador Automático";"09/09/2026";"Liberado para Execução";"FI";"16699164";"356ET093223";"10:30";"14:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5921045105872";"-46.4164639981824";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5921045105872,-46.4164639981824";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.ABC.26.00402";"Ligação Nova";"10/09/2026";"Liberado para Execução";"BRA";"16742530";"010ET087001";"10:00";"15:00";"Start Engenharia (Área 8B, 9  e 11) NEC";"ABC";"-23.6926165733575";"-46.5065204076559";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.6926165733575,-46.5065204076559";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.00313";"Ligação Nova";"10/09/2026";"Pendente de Aprovação";"BRA";"";"353ET093704";"09:30";"18:30";"ZZOUT-Start Área 8B+11 (Contrato Antigo)";"LES";"-23.5533412769196";"-46.5246376752136";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5533412769196,-46.5246376752136";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.25.01123";"Ligação Nova";"10/09/2026";"Liberado para Execução";"FI";"16678873";"352ET092640";"10:10";"14:10";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.4930697670445";"-46.5052123441507";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.4930697670445,-46.5052123441507";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.00404";"Ligação Nova";"10/09/2026";"Liberado para Execução";"FI";"16693974";"356ET162246";"09:30";"14:30";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.54310144855";"-46.4343343925723";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.54310144855,-46.4343343925723";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.01058";"Alteração de Carga";"10/09/2026";"Liberado para Execução";"";"";"";"";"";"Alpitel Energy (Área 7, 8A e 10) NEC";"LES";"";"";"Sem coordenadas";"";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"Sem Coordenadas"
"DAC/A.LES.26.01063";"Ligação Provisória";"10/09/2026";"Liberado para Execução";"PIE";"16717113";"353ET093347";"09:50";"13:50";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.515812794948";"-46.5453409221389";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.515812794948,-46.5453409221389";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
"DAC/A.LES.26.01133";"Ligação Nova";"10/09/2026";"Liberado para Execução";"FI";"16681127";"352ET038230";"09:25";"11:25";"Start Engenharia (Área 8B, 9  e 11) NEC";"LES";"-23.5051427107564";"-46.4751300394798";"Com coordenadas";"https://www.google.com/maps/search/?api=1&query=-23.5051427107564,-46.4751300394798";"https://www.google.com/maps/d/edit?hl=pt-BR&mid=10HwNRTu34UfYUParmwc_21swb9OrORy8&ll=-23.491120767237867%2C-46.59948536465595&z=11";"MyMaps"
