Projeto;Tipo de Serviço;Região;Data Prog.;Status;Intervenção;OS;Equipamento;Início Prog.;Fim Prog.;Parceira;Latitude;Longitude;Link Google Maps
DMP/A.LES.25.06904;Reforma de Rede Secundaria RTRI;LES;04/07/2026;Liberado para Execução;FI;16366660;261ET048088;04/07/2026 10:00;04/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.50826282;-46.46631524;https://www.google.com/maps/place/-23.50826282,-46.46631524
DMP/A.LES.25.06402;Reforma de Rede Secundaria RTRI;LES;04/07/2026;Liberado para Execução;FI;16366660;352ET048088;04/07/2026 10:00;04/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.50826282;-46.46631524;https://www.google.com/maps/place/-23.50826282,-46.46631524
DAC/A.NOR.26.00396;Migração para Média Tensão;NOR;04/07/2026;Liberado para Documentação;PIE;;251ET057752;04/07/2026 10:00;04/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.6165746;-46.67535216;https://www.google.com/maps/place/-23.6165746,-46.67535216
DAC/A.LES.26.00162;Ligação Nova;LES;04/07/2026;Liberado para Execução;FI;16363919;010ET006331;04/07/2026 10:00;04/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.64354446;-46.52945115;https://www.google.com/maps/place/-23.64354446,-46.52945115
DAC/A.LES.26.00753;Ligação Provisória;LES;04/07/2026;Liberado para Execução;PIE;16406671;356ET166764;04/07/2026 10:00;04/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.56589801;-46.43733073;https://www.google.com/maps/place/-23.56589801,-46.43733073
DMP/A.NOR.26.01709;Rede Compacta;NOR;04/07/2026;Liberado para Execução;PIE;DEVOLVIDO;351ET014884;04/07/2026 10:00;04/07/2026 13:59;Conecta Elicord NEC;-23.43977736;-46.79198954;https://www.google.com/maps/place/-23.43977736,-46.79198954
DMP/A.NOR.26.01757;Rede Compacta;NOR;04/07/2026;Liberado para Execução;PIE;DEVOLVIDO;351ET014884;04/07/2026 10:00;04/07/2026 13:59;Conecta Elicord NEC;-23.43977736;-46.79198954;https://www.google.com/maps/place/-23.43977736,-46.79198954
DMP/A.NOR.26.01830;Rede Compacta;NOR;04/07/2026;Liberado para Execução;PIE;DEVOLVIDO;351ET014884;04/07/2026 10:00;04/07/2026 13:59;Conecta Elicord NEC;-23.43977736;-46.79198954;https://www.google.com/maps/place/-23.43977736,-46.79198954
DMP/A.NOR.26.01758;Rede Compacta;NOR;04/07/2026;Liberado para Execução;PIE;DEVOLVIDO;351ET014884;04/07/2026 10:00;04/07/2026 13:59;Conecta Elicord NEC;-23.43977736;-46.79198954;https://www.google.com/maps/place/-23.43977736,-46.79198954
DMP/A.NOR.26.01852;Rede Compacta;NOR;04/07/2026;Liberado para Execução;PIE;DEVOLVIDO;351ET014884;04/07/2026 10:00;04/07/2026 13:59;Conecta Elicord NEC;-23.43977736;-46.79198954;https://www.google.com/maps/place/-23.43977736,-46.79198954
DAC/A.NOR.26.00630;Migração para Média Tensão;NOR;06/07/2026;Liberado para Documentação;BRA;;251IP17J281;06/07/2026 07:59;06/07/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.5975526;-46.67694882;https://www.google.com/maps/place/-23.5975526,-46.67694882
DAC/A.NOR.26.00226;Ligação Provisória;NOR;06/07/2026;Liberado para Execução;OLVR;;251EP007509;06/07/2026 07:59;06/07/2026 16:59;Conecta Obras (Área 4 e 5) NEC;-23.63587784;-46.65477446;https://www.google.com/maps/place/-23.63587784,-46.65477446
DAC/A.NOR.26.00461;Ligação Nova;NOR;06/07/2026;Liberado para Execução;PIE;16333355;355ET132290;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.55987707;-46.61083737;https://www.google.com/maps/place/-23.55987707,-46.61083737
DAC/A.NOR.25.00558;Ligação Nova;NOR;06/07/2026;Liberado para Execução;PIE;16408361;251BF062765;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.60345331;-46.67630658;https://www.google.com/maps/place/-23.60345331,-46.67630658
DAC/A.LES.26.00826;Alteração de Carga;LES;06/07/2026;Liberado para Execução;FI;16364473;353ET033015;06/07/2026 10:00;06/07/2026 13:59;Start Engenharia (Área 8B, 9  e 11) NEC;-23.5573856;-46.50268403;https://www.google.com/maps/place/-23.5573856,-46.50268403
DAC/A.NOR.25.01713;Remoção de Poste;NOR;06/07/2026;Liberado para Execução;FI;16375030;251ET008379;06/07/2026 10:00;06/07/2026 12:00;Conecta Obras (Área 4 e 5) NEC;-23.61133225;-46.6513576;https://www.google.com/maps/place/-23.61133225,-46.6513576
DAC/A.NOR.26.00563;Alteração de Carga;NOR;06/07/2026;Liberado para Execução;FI;16374784;151ET053490;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.56485197;-46.66008336;https://www.google.com/maps/place/-23.56485197,-46.66008336
DAC/A.NOR.26.00493;Alteração de Carga;NOR;06/07/2026;Liberado para Execução;FI;16375042;257ET096109;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.57087085;-46.63449421;https://www.google.com/maps/place/-23.57087085,-46.63449421
DAC/A.NOR.26.00591;Alteração de Carga;NOR;06/07/2026;Liberado para Execução;FI;16374869;257ET023753;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.5814594;-46.61110814;https://www.google.com/maps/place/-23.5814594,-46.61110814
DAC/A.NOR.26.00488;Alteração de Carga;NOR;06/07/2026;Liberado para Execução;FI;16374934;251ET002111;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.57544521;-46.66169591;https://www.google.com/maps/place/-23.57544521,-46.66169591
DAC/A.NOR.26.00526;Alteração de Carga;NOR;06/07/2026;Liberado para Execução;FI;16374934;251ET002111;06/07/2026 10:00;06/07/2026 13:59;Conecta Obras (Área 4 e 5) NEC;-23.57544521;-46.66169591;https://www.google.com/maps/place/-23.57544521,-46.66169591
